Date;Open;High;Low;Close
2002-01-30;92,05;92,05;92,05;92,05
2002-01-31;92,05;92,05;92,05;92,05
2002-02-01;92,05;92,05;92,05;92,05
2002-02-04;92,05;92,05;92,05;92,05
2002-02-05;92,05;92,05;92,05;92,05
2002-02-06;92,05;92,05;92,05;92,05
2002-02-07;90,6;90,6;90,6;90,6
2002-02-08;90,6;90,6;90,6;90,6
2002-02-11;90,6;90,6;90,6;90,6
2002-02-12;92,7;92,7;92,7;92,7
2002-02-13;93;93,14;93;93,14
2002-02-14;93,68;93,89;93,68;93,89
2002-02-15;93,89;93,89;93,89;93,89
2002-02-19;93,34;93,34;93,34;93,34
2002-02-20;93,34;93,34;93,34;93,34
2002-02-21;94,74;94,74;93,91;93,91
2002-02-22;93,91;93,91;93,91;93,91
2002-02-25;95,99;96,42;95,99;96,42
2002-02-26;96,78;96,78;96,78;96,78
2002-02-27;96,76;96,76;96,7;96,7
2002-02-28;97,12;97,58;97,12;97,31
2002-03-01;98;98;98;98
2002-03-04;99,19;99,95;99,19;99,95
2002-03-05;100;100;100;100
2002-03-06;100;100;100;100
2002-03-07;102,04;102,58;102,04;102,58
2002-03-08;102,8;102,8;101,65;101,65
2002-03-11;102,14;102,31;102,14;102,31
2002-03-12;102,31;102,31;102,31;102,31
2002-03-13;102,08;102,08;102,08;102,08
2002-03-14;102,08;102,08;102,08;102,08
2002-03-15;102,63;102,63;102,63;102,63
2002-03-18;103,1;103,74;103,1;103,19
2002-03-19;103,19;103,19;103,19;103,19
2002-03-20;104,1;104,65;104;104,65
2002-03-21;103,7;103,7;103;103,09
2002-03-22;103,09;103,09;103,09;103,09
2002-03-25;101,5;102,14;101,5;102,12
2002-03-26;101,75;101,75;101,75;101,75
2002-03-27;101,75;101,75;101,75;101,75
2002-03-28;101,75;101,75;101,75;101,75
2002-04-01;101,75;101,75;101,75;101,75
2002-04-02;104,44;105,29;104,44;105
2002-04-03;103,34;103,77;103,22;103,22
2002-04-04;101,83;101,83;101,64;101,64
2002-04-05;101,86;101,86;101,86;101,86
2002-04-08;102,2;102,2;101,88;101,88
2002-04-09;101,6;101,6;100,3;100,3
2002-04-10;100,3;100,3;100,3;100,3
2002-04-11;101,1;101,79;101,1;101,25
2002-04-12;100,3;100,3;98,12;98,12
2002-04-15;99,8;100,25;99,8;99,9
2002-04-16;100,47;100,65;100,47;100,65
2002-04-17;102,6;102,6;102,56;102,56
2002-04-18;103,45;103,6;103,2;103,2
2002-04-19;103,2;103,2;103,2;103,2
2002-04-22;102,5;102,5;102,2;102,2
2002-04-23;102,2;102,42;102,2;102,42
2002-04-24;101,75;101,75;100,79;100,79
2002-04-25;101,4;101,4;101,4;101,4
2002-04-26;101,3;101,3;100,08;100,3
2002-04-29;99,86;99,86;99,86;99,86
2002-04-30;100,59;100,59;100,59;100,59
2002-05-01;100,6;101,49;100,6;101,49
2002-05-02;101,69;101,7;101,69;101,7
2002-05-03;102,6;103,19;102,6;102,87
2002-05-06;101,51;101,51;100,15;100,15
2002-05-07;100,16;100,32;99,95;100,32
2002-05-08;101,31;101,31;101,31;101,31
2002-05-09;101,2;101,2;101,2;101,2
2002-05-10;101,3;101,36;100,71;101,36
2002-05-13;101,19;102;101,19;101,64
2002-05-14;103,04;103,04;102,89;102,89
2002-05-15;101,47;101,79;101,46;101,79
2002-05-16;102,28;102,28;102,28;102,28
2002-05-17;101,09;101,37;101,09;101,29
2002-05-20;101,29;101,29;101,29;101,29
2002-05-21;101,78;101,78;101,74;101,74
2002-05-22;101,85;102,32;101,85;102,32
2002-05-23;102,28;102,28;102,28;102,28
2002-05-24;102,45;102,45;102,22;102,27
2002-05-28;101,6;101,69;101,5;101,65
2002-05-29;101;101;100,7;100,7
2002-05-30;100,27;100,27;98,52;99,29
2002-05-31;100,5;100,58;100,29;100,29
2002-06-03;100,15;100,15;98,16;98,16
2002-06-04;97,17;97,31;97,17;97,31
2002-06-05;97,31;97,31;97,31;97,31
2002-06-06;96,34;96,34;96,34;96,34
2002-06-07;96;96;96;96
2002-06-10;95,11;95,11;95,11;95,11
2002-06-11;95,3;95,45;93,84;93,84
2002-06-12;94;94,68;94;94,68
2002-06-13;94,27;94,27;94,27;94,27
2002-06-14;93,67;93,67;93,67;93,67
2002-06-17;95,73;96,21;95,73;96,12
2002-06-18;96,24;96,49;96,24;96,49
2002-06-19;96,49;96,49;96,49;96,49
2002-06-20;96,13;96,13;96,13;96,13
2002-06-21;95,55;95,55;94,63;94,63
2002-06-24;95,29;95,29;95,29;95,29
2002-06-25;96,56;96,56;96,56;96,56
2002-06-26;94,6;94,6;94,56;94,56
