Date,Open,High,Low,Close,Adj Close,Volume
2001-11-26,115.75,116.339996,115.07,115.93,105.52,13726000
2001-11-27,115.620003,116.900002,114.089996,115.43,105.06,19261400
2001-11-28,114.739998,115.169998,113.25,113.339996,103.16,20195500
2001-11-29,113.660004,114.919998,113,114.870003,104.55,16354700
2001-11-30,114.400002,114.910004,114.019997,114.050003,103.81,13680300
2001-12-03,113.650002,114.080002,113.010002,113.370003,103.19,15220400
2001-12-04,113.919998,115.300003,113.349998,115.290001,104.93,17239900
2001-12-05,115.610001,118,115.559998,117.400002,106.85,25204000
2001-12-06,117.339996,117.940002,116.93,117.339996,106.8,17972900
2001-12-07,116.900002,117.089996,115.699997,116.559998,106.09,18857800
2001-12-10,115.849998,116.389999,114.349998,114.379997,104.11,13862700
2001-12-11,114.900002,115.720001,113.900002,114.150002,103.9,20833300
2001-12-12,114.550003,114.779999,113.110001,114.279999,104.02,16171500
2001-12-13,113.449997,113.699997,112.040001,112.059998,101.99,19026700
2001-12-14,112.330002,113.489998,112,113.129997,102.97,16721900
2001-12-17,112.989998,114.360001,112.900002,114.300003,104.03,13925900
2001-12-18,114.629997,115.150002,114.339996,114.980003,104.65,13663700
2001-12-19,114.089996,115.919998,114,115.790001,105.39,20143400
2001-12-20,115.5,115.800003,114.550003,114.650002,104.35,14867900
2001-12-21,115.029999,115.07,114.199997,114.949997,104.62,14037700
2001-12-24,114.830002,115.040001,114.610001,114.730003,104.42,5728800
2001-12-26,114.650002,116.209999,114.650002,115.360001,105,10304800
2001-12-27,115.300003,116.080002,115.25,116.059998,105.64,9407300
2001-12-28,116.290001,116.75,115.919998,116,105.58,10593800
2001-12-31,116.150002,116.389999,114.230003,114.300003,104.03,14619500
2002-01-02,115.110001,115.75,113.809998,115.529999,105.15,18651900
2002-01-03,115.650002,116.949997,115.540001,116.839996,106.35,15743000
2002-01-04,117.169998,117.980003,116.550003,117.620003,107.06,20140700
2002-01-07,117.699997,117.989998,116.559998,116.790001,106.3,13106500
2002-01-08,116.790001,117.059998,115.970001,116.519997,106.05,12683700
2002-01-09,116.68,117.779999,115.339996,115.57,105.19,16610300
2002-01-10,115.690002,116.349998,115.300003,116.080002,105.65,12823400
2002-01-11,116.209999,116.279999,114.699997,114.940002,104.62,13708400
2002-01-14,114.650002,114.839996,113.959999,114.220001,103.96,12301100
2002-01-15,114.550003,115.389999,113.900002,115.150002,104.81,20219900
2002-01-16,114.300003,114.400002,112.690002,112.82,102.69,17067000
2002-01-17,113.760002,114.239998,113.400002,113.669998,103.46,17283400
2002-01-18,113,113.849998,112.669998,113.150002,102.99,17028000
2002-01-22,113.75,113.93,112.019997,112.370003,102.28,11689300
2002-01-23,112.629997,113.550003,112.019997,113.230003,103.06,12438900
2002-01-24,113.639999,114.25,113.32,113.580002,103.38,12142800
2002-01-25,113.120003,114.18,113.040001,113.550003,103.35,12810700
2002-01-28,113.900002,114.190002,112.919998,113.860001,103.63,10589200
2002-01-29,113.849998,114.129997,110.050003,110.279999,100.37,27720800
2002-01-30,110.389999,113.389999,108.400002,111.870003,101.82,34711800
2002-01-31,112.150002,113.300003,111.620003,113.18,103.01,19909200
2002-02-01,113.089996,113.300003,112.169998,112.650002,102.53,15838500
2002-02-04,112.230003,112.230003,109.440002,109.849998,99.98,24243400
2002-02-05,109.400002,110.489998,108.529999,109.169998,99.36,33614000
2002-02-06,109.650002,109.739998,108.059998,108.699997,98.94,29486000
2002-02-07,108.720001,109.860001,108,108.019997,98.32,23445400
2002-02-08,108.629997,110.75,108.300003,110.089996,100.2,19277800
2002-02-11,110.050003,111.639999,109.82,111.440002,101.43,18792400
2002-02-12,110.959999,111.709999,110.029999,111.089996,101.11,13942500
2002-02-13,111.480003,112.540001,111.349998,112.269997,102.19,16781100
2002-02-14,112.510002,112.970001,111.589996,112.059998,101.99,20453800
2002-02-15,112.150002,112.239998,110.709999,110.889999,100.93,18366800
2002-02-19,110.150002,110.290001,108.610001,108.760002,98.99,15988100
2002-02-20,109.050003,110.589996,107.82,110.589996,100.66,29242800
2002-02-21,109.93,110.629997,108.260002,108.300003,98.57,26288600
2002-02-22,108.349998,109.940002,107.870003,109.639999,99.79,26572900
2002-02-25,109.739998,111.809998,109.699997,111.449997,101.44,17458700
2002-02-26,111.599998,112.040001,110.57,111.220001,101.23,22346500
2002-02-27,111.959999,112.860001,110.650002,111.650002,101.62,28597900
2002-02-28,111.830002,112.75,111.029999,111.150002,101.17,23755400
2002-03-01,111.720001,113.849998,111.510002,113.739998,103.52,26273600
2002-03-04,113.900002,115.989998,113.650002,115.75,105.35,27184600
2002-03-05,115.330002,116.400002,114.970001,115.379997,105.02,22718900
2002-03-06,115.099998,117.150002,115.07,116.75,106.26,20143200
2002-03-07,117.360001,117.5,115.57,116.5,106.04,19330800
2002-03-08,117.379997,117.900002,116.480003,116.989998,106.48,19930100
2002-03-11,116.889999,117.900002,116.43,117.239998,106.71,15621800
2002-03-12,116.099998,117.25,115.940002,117.169998,106.65,17153600
2002-03-13,116.629997,116.75,115.639999,116.040001,105.62,17175300
2002-03-14,116.040001,116.43,115.629997,115.879997,105.47,11168100
2002-03-15,115.970001,116.949997,115.900002,116.650002,106.48,21220100
2002-03-18,117.099998,117.559998,116.099998,116.669998,106.49,17548900
2002-03-19,117.300003,117.739998,116.82,117.449997,107.21,17912000
2002-03-20,116.5,116.580002,115.190002,115.239998,105.19,17114500
